transect_run_ID,run_ID,transect_ID,date,start_time_bird1,end_time_bird1,start_time_fish,end_time_fish,direction_fish,start_time_bird2,end_time_bird2,weather,waves,water_green,remarks,observers
pap_2_run_2,run_2,pap_2,19-Feb-2025,11:04,11:09,11:12,11:20,from coast,11:25,11:29,sunny,calm,yes,,"Vera, Joyce, Amos, James"
tree_1_run_2,run_2,tree_1,19-Feb-2025,11:37,11:43,12:00,12:07,to coast,12:09,12:14,sunny,calm,no,,"Vera, Joyce, Amos, James"
tree_2_run_2,run_2,tree_2,19-Feb-2025,12:20,12:25,12:27,12:36,from coast,12:39,12:44,sunny,little waves,no,,"Vera, Joyce, Amos, James"
tree_3_extra_2,extra_2,tree_3,19-Feb-2025,12:57,13:03,13:05,13:13,from coast,13:17,13:23,sunny,calm,no,,"Vera, Joyce, Amos, James"
tree_4_extra_2,extra_2,tree_4,19-Feb-2025,13:28,13:35,13:38,13:46,from coast,13:50,13:57,sunny,calm,no,,"Vera, Joyce, Amos, James"
tree_3_run_2,run_2,tree_3,20-Feb-2025,9:23,9:29,9:31,9:38,from coast,9:42,9:48,sunny,calm,yes,,"Vera, Joyce, Amos, James"
tree_4_run_2,run_2,tree_4,20-Feb-2025,9:53,9:58,9:59,10:07,from coast,10:11,10:16,sunny,calm,yes,,"Vera, Joyce, Amos, James"
pap_3_run_2,run_2,pap_3,20-Feb-2025,10:24,10:31,10:32,10:42,from coast,10:46,10:50,sunny,calm,yes,encountered fishing net,"Vera, Joyce, Amos, James"
pap_4_run_2,run_2,pap_4,20-Feb-2025,10:56,10:59,11:01,11:08,from coast,11:12,11:16,sunny,calm,yes,3 fisherboats in front and on the papyrus transect,"Vera, Joyce, Amos, James"
tree_5_run_2,run_2,tree_5,20-Feb-2025,11:20,11:27,11:29,11:36,from coast,11:40,11:44,sunny,calm,yes,,"Vera, Joyce, Amos, James"
tree_6_run_2,run_2,tree_6,20-Feb-2025,11:46,11:50,11:52,12:00,from coast,12:04,12:08,sunny,calm,yes,,"Vera, Joyce, Amos, James"
pap_5_run_2,run_2,pap_5,20-Feb-2025,12:17,12:22,12:24,12:32,from coast,12:44,12:48,sunny,calm,yes,,"Vera, Joyce, Amos, James"
pap_6_extra_2,extra_2,pap_6,20-Feb-2025,12:50,12:55,12:57,13:06,from coast,13:09,13:15,sunny,calm,yes,,"Vera, Joyce, Amos, James"
tree_7_extra_2,extra_2,tree_7,20-Feb-2025,13:26,13:31,13:32,13:41,from coast,13:44,13:53,sunny,calm,yes,,"Vera, Joyce, Amos, James"
tree_8_run_2,run_2,tree_8,21-Feb-2025,8:27,8:32,8:38,8:45,from coast,8:49,8:56,cloudy,many waves,no,,"Vera, Joyce, Amos, James"
tree_7_run_2,run_2,tree_7,21-Feb-2025,9:08,9:15,9:17,9:25,from coast,9:28,9:37,cloudy,many waves,no,,"Vera, Joyce, Amos, James"
pap_6_run_2,run_2,pap_6,21-Feb-2025,10:00,10:06,10:20,10:27,to coast,10:28,10:32,cloudy,little waves,no,,"Vera, Joyce, Amos, James"
tree_8_run_3,run_3,tree_8,9-Mar-2025,8:00,8:06,8:08,8:16,from coast,8:30,8:36,cloudy,many waves,no,"started just after rain, also little rain started from 8:08-8:33","Vera, Joyce, Bahebe, Kelvin"
tree_7_run_3,run_3,tree_7,9-Mar-2025,8:48,8:55,9:29,9:37,from coast,9:17,9:23,cloudy,many waves,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_6_run_3,run_3,pap_6,9-Mar-2025,9:50,9:57,9:59,10:07,from coast,10:12,10:17,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_5_run_3,run_3,pap_5,9-Mar-2025,10:20,10:25,10:27,10:35,from coast,10:39,10:43,cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_6_run_3,run_3,tree_6,9-Mar-2025,10:56,11:01,11:02,11:10,from coast,11:14,11:19,cloudy,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
